Image name,X1,Y1,X2,Y2,object name,X-centre,Y-centre,X-Image Dimentions,Y-Image Dimentions,has on the left,has on the right,has on the top,has on the bottom,has in the center,URLs
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,1727,1465,1896,1809,person,1811.5,1637,4752,3485,na,na,na,na,person,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,3871,1693,4035,2010,person,3953,1851.5,4752,3485,na,person,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,3996,1576,4113,1691,person,4054.5,1633.5,4752,3485,na,person,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1861_Meyerheim_Zirkusvorstellung_anagoria.JPG,23,1468,208,2195,person,115.5,1831.5,4752,3485,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6c/1861_Meyerheim_Zirkusvorstellung_anagoria.JPG
1909-Elefante.jpg,64,53,1019,667,elephant,541.5,360,1114,720,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/c/cc/1909-Elefante.jpg
1909-Elefante.jpg,207,51,1079,661,sheep,643,356,1114,720,na,na,na,na,sheep,https://upload.wikimedia.org/wikipedia/commons/c/cc/1909-Elefante.jpg
1909-Elefante.jpg,81,0,1076,552,bench,578.5,276,1114,720,na,na,na,na,bench,https://upload.wikimedia.org/wikipedia/commons/c/cc/1909-Elefante.jpg
20171105_Wat_Phra_Sing%2C_Chiang_Mai_0004_DxO.jpg,0,445,3086,2808,elephant,1543,1626.5,3086,3058,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/9/9c/20171105_Wat_Phra_Sing%2C_Chiang_Mai_0004_DxO.jpg
20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg,158,1274,287,1662,person,222.5,1468,1531,2303,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/0/0b/20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg
20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg,301,559,1414,2176,elephant,857.5,1367.5,1531,2303,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/0/0b/20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg
20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg,71,1265,196,1632,person,133.5,1448.5,1531,2303,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/0/0b/20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg
20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg,556,164,1010,612,person,783,388,1531,2303,na,na,person,na,na,https://upload.wikimedia.org/wikipedia/commons/0/0b/20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg
20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg,18,1269,107,1614,person,62.5,1441.5,1531,2303,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/0/0b/20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg
20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg,480,281,1035,691,bench,757.5,486,1531,2303,na,na,bench,na,na,https://upload.wikimedia.org/wikipedia/commons/0/0b/20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg
20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg,0,1294,54,1585,person,27,1439.5,1531,2303,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/0/0b/20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg
20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg,241,586,1196,2177,elephant,718.5,1381.5,1531,2303,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/0/0b/20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg
20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg,251,1441,324,1616,bicycle,287.5,1528.5,1531,2303,bicycle,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/0/0b/20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg
20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg,232,1424,351,1631,bicycle,291.5,1527.5,1531,2303,bicycle,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/0/0b/20191219_S%C5%82o%C5%84_na_ulicy_Ameru_Jaipur_1137_9650_DxO.jpg
7518944208_IMG_0316_01.jpg,398,429,598,723,bear,498,576,1920,1280,bear,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/d/dd/7518944208_IMG_0316_01.jpg
7518944208_IMG_0316_01.jpg,854,450,1183,825,elephant,1018.5,637.5,1920,1280,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/d/dd/7518944208_IMG_0316_01.jpg
7518944208_IMG_0316_01.jpg,1552,572,1792,860,elephant,1672,716,1920,1280,na,elephant,na,na,na,https://upload.wikimedia.org/wikipedia/commons/d/dd/7518944208_IMG_0316_01.jpg
7518944208_IMG_0316_01.jpg,1538,498,1592,551,bird,1565,524.5,1920,1280,na,bird,na,na,na,https://upload.wikimedia.org/wikipedia/commons/d/dd/7518944208_IMG_0316_01.jpg
762A5021-Edit.jpg,41,188,1072,803,elephant,556.5,495.5,1080,810,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/5/5d/762A5021-Edit.jpg
Adventureland_at_Disneyland_IMG_3866.jpg,2177,744,2871,1670,elephant,2524,1207,3648,2736,na,elephant,na,na,na,https://upload.wikimedia.org/wikipedia/commons/b/b4/Adventureland_at_Disneyland_IMG_3866.jpg
Adventureland_at_Disneyland_IMG_3866.jpg,1705,1303,2351,1775,elephant,2028,1539,3648,2736,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/b/b4/Adventureland_at_Disneyland_IMG_3866.jpg
Adventureland_at_Disneyland_IMG_3866.jpg,26,1000,785,1846,elephant,405.5,1423,3648,2736,elephant,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/b/b4/Adventureland_at_Disneyland_IMG_3866.jpg
Adventureland_at_Disneyland_IMG_3866.jpg,101,1082,857,1822,bear,479,1452,3648,2736,bear,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/b/b4/Adventureland_at_Disneyland_IMG_3866.jpg
Adventureland_at_Disneyland_IMG_3867.jpg,2618,1137,3164,1456,bear,2891,1296.5,3648,2736,na,bear,na,na,na,https://upload.wikimedia.org/wikipedia/commons/5/5d/Adventureland_at_Disneyland_IMG_3867.jpg
Adventureland_at_Disneyland_IMG_3867.jpg,3252,1163,3527,1423,bear,3389.5,1293,3648,2736,na,bear,na,na,na,https://upload.wikimedia.org/wikipedia/commons/5/5d/Adventureland_at_Disneyland_IMG_3867.jpg
Adventureland_at_Disneyland_IMG_3867.jpg,2599,1142,3063,1446,elephant,2831,1294,3648,2736,na,elephant,na,na,na,https://upload.wikimedia.org/wikipedia/commons/5/5d/Adventureland_at_Disneyland_IMG_3867.jpg
Adventureland_at_Disneyland_IMG_3868.jpg,2399,1187,2764,1405,elephant,2581.5,1296,3648,2736,na,elephant,na,na,na,https://upload.wikimedia.org/wikipedia/commons/3/3c/Adventureland_at_Disneyland_IMG_3868.jpg
Adventureland_at_Disneyland_IMG_3868.jpg,3091,1079,3365,1409,elephant,3228,1244,3648,2736,na,elephant,na,na,na,https://upload.wikimedia.org/wikipedia/commons/3/3c/Adventureland_at_Disneyland_IMG_3868.jpg
Adventureland_at_Disneyland_IMG_3868.jpg,2926,1263,3080,1392,elephant,3003,1327.5,3648,2736,na,elephant,na,na,na,https://upload.wikimedia.org/wikipedia/commons/3/3c/Adventureland_at_Disneyland_IMG_3868.jpg
Afbeeldingen_van_vogels_en_dieren-Catchpenny_print-Borms_0294.jpeg,683,650,1020,1109,bird,851.5,879.5,1500,1246,na,na,na,bird,na,https://upload.wikimedia.org/wikipedia/commons/e/e6/Afbeeldingen_van_vogels_en_dieren-Catchpenny_print-Borms_0294.jpeg
Afbeeldingen_van_vogels_en_dieren-Catchpenny_print-Borms_0294.jpeg,162,922,239,1113,person,200.5,1017.5,1500,1246,person,na,na,person,na,https://upload.wikimedia.org/wikipedia/commons/e/e6/Afbeeldingen_van_vogels_en_dieren-Catchpenny_print-Borms_0294.jpeg
African_bush_elephant%2C_Loxodonta_africana_at_Punda_Maria%2C_Kruger_National_Park%2C_South_Africa._Includes_lots_of_baby_elephant._%2820786182251%29.jpg,217,417,1618,2216,elephant,917.5,1316.5,2001,2672,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/d/da/African_bush_elephant%2C_Loxodonta_africana_at_Punda_Maria%2C_Kruger_National_Park%2C_South_Africa._Includes_lots_of_baby_elephant._%2820786182251%29.jpg
African_Bush_Elephant.jpg,367,934,2320,3663,elephant,1343.5,2298.5,2592,3888,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/3/37/African_Bush_Elephant.jpg
African_bush_elephant_in_San_Diego_Zoo.jpg,660,332,2170,1659,elephant,1415,995.5,2827,1988,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/f/f9/African_bush_elephant_in_San_Diego_Zoo.jpg
African_elephants%2C_Lake_St_Lucia_06.jpg,2825,840,4185,1707,elephant,3505,1273.5,4664,2345,na,elephant,na,na,na,https://upload.wikimedia.org/wikipedia/commons/5/53/African_elephants%2C_Lake_St_Lucia_06.jpg
African_elephants%2C_Lake_St_Lucia_06.jpg,397,898,1900,1803,elephant,1148.5,1350.5,4664,2345,elephant,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/5/53/African_elephants%2C_Lake_St_Lucia_06.jpg
African_elephants%2C_Lake_St_Lucia_06.jpg,1688,939,2969,1731,elephant,2328.5,1335,4664,2345,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/5/53/African_elephants%2C_Lake_St_Lucia_06.jpg
African_elephant_bathing.jpg,348,470,1738,802,elephant,1043,636,1920,1080,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/8/82/African_elephant_bathing.jpg
African_Elephant_in_Zoo.jpg,739,69,823,288,person,781,178.5,1393,853,na,na,person,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6f/African_Elephant_in_Zoo.jpg
African_Elephant_in_Zoo.jpg,688,185,1385,833,person,1036.5,509,1393,853,na,person,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6f/African_Elephant_in_Zoo.jpg
African_Elephant_in_Zoo.jpg,1013,73,1081,234,person,1047,153.5,1393,853,na,person,person,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6f/African_Elephant_in_Zoo.jpg
African_Elephant_in_Zoo.jpg,490,85,539,208,person,514.5,146.5,1393,853,na,na,person,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6f/African_Elephant_in_Zoo.jpg
African_Elephant_in_Zoo.jpg,1149,103,1222,268,person,1185.5,185.5,1393,853,na,person,person,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6f/African_Elephant_in_Zoo.jpg
African_Elephant_in_Zoo.jpg,13,355,761,771,elephant,387,563,1393,853,elephant,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6f/African_Elephant_in_Zoo.jpg
African_Elephant_in_Zoo.jpg,1218,69,1281,264,person,1249.5,166.5,1393,853,na,person,person,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6f/African_Elephant_in_Zoo.jpg
African_Elephant_in_Zoo.jpg,555,244,959,538,elephant,757,391,1393,853,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/6/6f/African_Elephant_in_Zoo.jpg
African_Elephant_in_Zoo.jpg,1258,62,1319,268,person,1288.5,165,1393,853,na,person,person,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6f/African_Elephant_in_Zoo.jpg
African_Elephant_in_Zoo.jpg,1295,101,1348,283,person,1321.5,192,1393,853,na,person,person,na,na,https://upload.wikimedia.org/wikipedia/commons/6/6f/African_Elephant_in_Zoo.jpg
Allerhande_slag_van_dieren-Catchpenny_print-Borms_0276.jpeg,0,0,1480,1908,refrigerator,740,954,1500,1908,na,na,na,na,refrigerator,https://upload.wikimedia.org/wikipedia/commons/e/e7/Allerhande_slag_van_dieren-Catchpenny_print-Borms_0276.jpeg
Al_wat_het_kermistooneel%2C_ons_aanbiedt_tot_vermaken-Catchpenny_print-Borms_0815.jpeg,234,617,383,866,person,308.5,741.5,1500,1874,person,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/5/57/Al_wat_het_kermistooneel%2C_ons_aanbiedt_tot_vermaken-Catchpenny_print-Borms_0815.jpeg
Al_wat_het_kermistooneel%2C_ons_aanbiedt_tot_vermaken-Catchpenny_print-Borms_0815.jpeg,0,132,1427,1706,cake,713.5,919,1500,1874,na,na,na,na,cake,https://upload.wikimedia.org/wikipedia/commons/5/57/Al_wat_het_kermistooneel%2C_ons_aanbiedt_tot_vermaken-Catchpenny_print-Borms_0815.jpeg
Amani-Afrika-Ltd.jpg,523,416,928,722,elephant,725.5,569,1200,900,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/2/21/Amani-Afrika-Ltd.jpg
Amani-Afrika-Ltd.jpg,70,473,642,736,elephant,356,604.5,1200,900,elephant,na,na,elephant,na,https://upload.wikimedia.org/wikipedia/commons/2/21/Amani-Afrika-Ltd.jpg
Amani-Afrika-Ltd.jpg,111,501,208,566,elephant,159.5,533.5,1200,900,elephant,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/2/21/Amani-Afrika-Ltd.jpg
Amani-Afrika-Ltd.jpg,7,521,174,592,elephant,90.5,556.5,1200,900,elephant,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/2/21/Amani-Afrika-Ltd.jpg
An_elephant_herd_at_Jim_Corbett_National_Park.jpg,3503,1481,3872,2048,elephant,3687.5,1764.5,3872,2592,na,elephant,na,elephant,na,https://upload.wikimedia.org/wikipedia/commons/2/28/An_elephant_herd_at_Jim_Corbett_National_Park.jpg
An_elephant_herd_at_Jim_Corbett_National_Park.jpg,2634,1272,3181,2051,elephant,2907.5,1661.5,3872,2592,na,elephant,na,na,na,https://upload.wikimedia.org/wikipedia/commons/2/28/An_elephant_herd_at_Jim_Corbett_National_Park.jpg
An_elephant_herd_at_Jim_Corbett_National_Park.jpg,1529,1534,2101,2025,elephant,1815,1779.5,3872,2592,na,na,na,elephant,na,https://upload.wikimedia.org/wikipedia/commons/2/28/An_elephant_herd_at_Jim_Corbett_National_Park.jpg
An_elephant_herd_at_Jim_Corbett_National_Park.jpg,3151,1451,3530,2004,elephant,3340.5,1727.5,3872,2592,na,elephant,na,na,na,https://upload.wikimedia.org/wikipedia/commons/2/28/An_elephant_herd_at_Jim_Corbett_National_Park.jpg
An_elephant_herd_at_Jim_Corbett_National_Park.jpg,3138,1645,3391,2050,elephant,3264.5,1847.5,3872,2592,na,elephant,na,elephant,na,https://upload.wikimedia.org/wikipedia/commons/2/28/An_elephant_herd_at_Jim_Corbett_National_Park.jpg
An_elephant_herd_at_Jim_Corbett_National_Park.jpg,236,1290,1205,1916,cow,720.5,1603,3872,2592,cow,na,na,na,na,https://upload.wikimedia.org/wikipedia/commons/2/28/An_elephant_herd_at_Jim_Corbett_National_Park.jpg
An_elephant_herd_at_Jim_Corbett_National_Park.jpg,1539,1302,2617,1929,cow,2078,1615.5,3872,2592,na,na,na,na,cow,https://upload.wikimedia.org/wikipedia/commons/2/28/An_elephant_herd_at_Jim_Corbett_National_Park.jpg
An_Elephant_Mother_and_their_Calf.jpg,1642,1562,2756,2483,elephant,2199,2022.5,3024,4032,na,elephant,na,na,na,https://upload.wikimedia.org/wikipedia/commons/6/64/An_Elephant_Mother_and_their_Calf.jpg
An_Elephant_Mother_and_their_Calf.jpg,518,1097,1753,2584,elephant,1135.5,1840.5,3024,4032,na,na,na,na,elephant,https://upload.wikimedia.org/wikipedia/commons/6/64/An_Elephant_Mother_and_their_Calf.jpg
An_elephant_walks_back_to_the_herd_from_the_watering_hole_at_Minneriya%2C_Sri_Lanka.jpg,2348,2317,3275,3346,elephant,2811.5,2831.5,6000,4000,na,na,na,elephant,na,https://upload.wikimedia.org/wikipedia/commons/8/8a/An_elephant_walks_back_to_the_herd_from_the_watering_hole_at_Minneriya%2C_Sri_Lanka.jpg
An_elephant_walks_back_to_the_herd_from_the_watering_hole_at_Minneriya%2C_Sri_Lanka.jpg,3697,2425,3755,2488,bird,3726,2456.5,6000,4000,na,na,na,na,bird,https://upload.wikimedia.org/wikipedia/commons/8/8a/An_elephant_walks_back_to_the_herd_from_the_watering_hole_at_Minneriya%2C_Sri_Lanka.jpg
An_elephant_walks_back_to_the_herd_from_the_watering_hole_at_Minneriya%2C_Sri_Lanka.jpg,3429,2470,3471,2512,bird,3450,2491,6000,4000,na,na,na,na,bird,https://upload.wikimedia.org/wikipedia/commons/8/8a/An_elephant_walks_back_to_the_herd_from_the_watering_hole_at_Minneriya%2C_Sri_Lanka.jpg
An_elephant_walks_back_to_the_herd_from_the_watering_hole_at_Minneriya%2C_Sri_Lanka.jpg,3698,2443,3751,2507,bird,3724.5,2475,6000,4000,na,na,na,na,bird,https://upload.wikimedia.org/wikipedia/commons/8/8a/An_elephant_walks_back_to_the_herd_from_the_watering_hole_at_Minneriya%2C_Sri_Lanka.jpg
